issue,word,pages,count
61,abbatt,10,1
61,abertillery,9,1
61,aborigines,5,1
61,absence,4,1
61,access,10,1
61,accounts,3,2
61,accurate,6,1
61,acquire,4,2
61,acquiring,5,1
61,acquisitions,3,1
61,actually,3,1
61,adjoining,8,2
61,administration,4,1
61,admired,3,1
61,admiring,3,1
61,adopted,10,1
61,adopting,4,1
61,advantageous,5,1
61,aeroplanes,7,1
61,afghan,2,1
61,african,4,1
61,agreed,4,1
61,ahead,9,1
61,aircraft,3,1
61,alarm,"2,10",2
61,albert,5,1
61,aluminium,2,1
61,amateur,"2,6",6
61,amendments,4,1
61,american,4,1
61,amused,10,1
61,anchor,9,1
61,andrew,"2,3,4",4
61,andrewkershaw,"3,4",3
61,angles,"7,8",2
61,anniversary,4,1
61,annual,4,1
61,anyone,10,1
61,anything,6,1
61,apologies,4,1
61,appeared,"5,10",2
61,appears,8,1
61,appointed,5,1
61,archive,10,2
61,archivist,4,1
61,armstrong,3,1
61,arnold,10,1
61,arrive,3,1
61,article,"7,8",2
61,articles,3,1
61,ashby,6,1
61,ashley,6,1
61,assembling,3,1
61,attended,5,1
61,attending,"3,7",2
61,auction,"3,10",6
61,auctioned,10,1
61,auctioneers,10,1
61,auctions,10,2
61,august,5,1
61,australia,5,1
61,authorities,6,1
61,awarded,4,1
61,bagatelle,5,1
61,baker,"2,3",2
61,baptist,"5,6",2
61,barbara,10,1
61,barrie,"3,5",5
61,basenji,4,1
61,basenjis,4,1
61,basset,4,1
61,battered,5,1
61,battle,3,1
61,battleship,2,1
61,bawtree,6,1
61,bazaars,7,1
61,beating,5,1
61,became,5,2
61,becomes,8,1
61,bedfordshire,3,1
61,beejhp,5,1
61,beginnings,6,1
61,being,"3,4,10",3
61,bekkering,"2,3",2
61,belonging,3,1
61,below,2,1
61,beneath,7,1
61,benevolent,"1,3",2
61,bertram,9,1
61,besides,7,1
61,bicester,10,1
61,bigger,7,1
61,blotting,7,1
61,boards,7,1
61,books,"3,7,10",3
61,bought,5,1
61,boxes,"3,5,6",4
61,boxill,8,1
61,boxing,6,1
61,breakfast,10,1
61,breaking,6,1
61,breed,4,2
61,brian,"4,10",4
61,bringing,5,1
61,british,6,2
61,brought,"3,4",3
61,brown,"2,5,6",3
61,btinternet,4,1
61,btopenworld,4,1
61,bubbles,7,1
61,bulky,10,1
61,butter,3,1
61,calculate,3,1
61,calling,5,1
61,camera,3,1
61,cameroons,5,1
61,cardboard,6,1
61,career,4,1
61,careful,"3,8",2
61,carefully,8,1
61,carelessness,6,1
61,carolyn,6,1
61,carpet,6,1
61,carried,3,1
61,catalogue,10,3
61,catalogues,10,3
61,catchy,6,1
61,census,5,1
61,century,"5,6,9",4
61,certificate,4,1
61,chaired,3,1
61,champion,4,1
61,changed,"3,4,9",3
61,changes,4,1
61,chapel,5,2
61,cheaply,7,1
61,cheques,3,1
61,chichester,10,1
61,chief,6,1
61,children,10,1
61,chocolate,8,1
61,cidevant,4,1
61,cinematographers,6,1
61,circular,"2,4",2
61,circulated,4,1
61,circus,9,4
61,claims,4,1
61,clubs,"3,6",6
61,coincide,4,1
61,collection,"3,4,10",9
61,collectors,"4,9,10",3
61,coloured,7,2
61,comes,"6,7",2
61,commissioned,2,1
61,companies,10,2
61,compasses,8,1
61,compiled,5,1
61,completed,"6,7",2
61,completing,7,1
61,concerned,10,2
61,condor,10,1
61,conducting,5,1
61,confident,2,1
61,confraternity,"1,3",2
61,constables,7,1
61,constitution,"3,4",4
61,consumed,3,1
61,contactable,"3,4",2
61,contacted,10,1
61,contain,"9,10",2
61,continued,"4,8,9",3
61,continues,3,1
61,contributed,3,1
61,contribution,6,1
61,convenor,4,1
61,convention,4,1
61,convoyed,2,1
61,cooper,"4,7,8",3
61,cornwall,6,2
61,correspondent,10,1
61,countries,10,2
61,covered,8,1
61,covers,7,2
61,craze,7,1
61,credit,6,1
61,creek,5,1
61,crossing,2,1
