issue,word,pages,count
78,aanall,8,1
61,abertillery,9,1
61,aborigines,5,1
78,abraham,7,1
70,academy,8,1
78,accredited,8,1
78,accuratissima,7,1
70,ackermann,10,1
78,acknowledgments,10,1
70,acquainted,10,1
74,acquisition,4,1
66,acrobatic,7,1
78,activities,1,1
70,activity,4,1
74,activity,8,1
70,addingtons,7,1
61,adjoining,8,2
78,adult,3,1
70,advantage,5,1
74,advantage,"3,10",2
66,adventurous,7,1
74,advice,1,1
74,aerodrome,10,1
74,aeroplane,8,1
61,aeroplanes,7,1
61,afghan,2,1
66,aileen,10,1
61,aircraft,3,1
74,aircraft,10,3
61,albert,5,1
74,albert,3,2
70,aldin,4,1
66,alice,3,1
70,alice,6,1
66,allen,2,1
66,allenburys,3,1
74,allera,"3,4",2
66,allowance,4,1
66,alphabet,3,1
61,aluminium,2,1
74,amateurish,8,1
74,amazon,6,1
74,ambitious,2,1
78,ancestors,6,1
61,andrew,"2,3,4",4
66,andrew,"3,9",3
70,andrew,"2,3,5",4
74,andrew,3,1
78,andrew,"5,7",4
74,anecdotes,1,1
70,anglia,3,1
78,anglia,5,1
74,animated,5,1
74,animation,8,1
61,anniversary,4,1
74,anniversary,"1,9",2
78,anniversary,"1,3",4
66,antarctic,4,1
70,antarctic,4,1
74,antarctic,3,1
66,antarctica,1,1
78,anthony,9,2
66,anthropomorphic,4,1
66,antipodes,8,1
70,apparently,8,1
78,apparently,"5,7",2
70,appreciation,3,1
78,approx,7,1
66,approximately,8,1
78,approximately,5,1
74,april,4,1
70,aprons,4,1
70,aquatint,10,1
78,araaa,3,1
78,arabesque,5,1
61,archive,10,2
78,archive,6,1
70,archived,5,1
61,archivist,4,1
78,arctic,10,1
61,armstrong,3,1
66,armstrong,9,2
61,arnold,10,1
66,arrangement,7,1
74,arrangement,8,1
70,arrangements,5,1
66,artefacts,9,1
70,artist,7,1
74,artist,"6,7,8",6
78,artist,"5,6,9",4
70,artists,"4,10",2
66,artwork,7,1
66,ascot,10,1
61,ashby,6,1
61,ashley,6,1
66,aspects,9,1
70,aspects,"4,5",2
78,aspects,3,1
66,assemblies,5,1
70,assertion,8,1
74,assertion,4,1
74,assistance,7,1
66,association,9,1
78,association,"8,10",3
78,associations,9,1
74,assuage,6,1
74,astin,3,2
78,astounded,6,1
66,atlantic,9,1
70,atlantic,8,1
78,atlantic,4,1
70,atlas,8,1
74,attendance,"3,10",2
74,attendant,8,1
66,attic,"7,9",3
61,auction,"3,10",6
70,auction,9,1
78,auction,6,1
61,auctioned,10,1
78,auctioned,6,1
61,auctioneers,10,1
61,auctions,10,2
78,auctions,"8,10",2
61,august,5,1
66,august,4,1
70,august,"5,8",2
74,august,10,1
78,august,"4,5,8",3
78,auspices,9,1
61,australia,5,1
74,australia,10,2
74,australian,10,1
78,autobiograpy,10,1
66,autumn,3,1
74,autumn,5,1
74,aviation,10,1
70,awaited,10,1
61,baker,"2,3",2
70,banished,9,1
61,baptist,"5,6",2
70,baptist,9,1
61,barbara,10,1
74,barbara,"6,7",3
78,barbara,3,2
74,barker,8,1
61,barrie,"3,5",5
66,barrie,3,1
70,barrie,"3,6,9",5
74,barrie,"3,4",2
78,barrie,6,3
66,barry,9,1
70,baruch,10,1
66,basingstoke,6,1
61,basset,4,1
74,batch,4,1
70,battledores,8,1
61,battleship,2,1
61,bawtree,6,1
61,bazaars,7,1
78,bcders,7,1
70,beaumont,"8,9",3
70,beautifully,3,1
70,bedford,10,1
61,bedfordshire,3,1
66,beffa,10,1
70,behalf,8,1
61,bekkering,"2,3",2
70,bekkering,3,1
78,bekkering,"3,8",2
74,beloved,7,1
66,belvedere,10,1
61,benevolent,"1,3",2
66,benevolent,1,1
70,bennett,3,1
74,berkley,6,1
78,berlin,8,1
61,bertram,9,1
66,bessie,10,1
74,betal,9,1
78,bethnal,6,1
78,betterton,3,1
74,biblical,4,1
61,bicester,10,1
70,billiard,10,2
70,binder,7,1
70,biographical,9,1
78,biographical,10,2
74,birmingham,3,1
70,birthday,6,1
74,biscuit,9,1
66,bishop,1,1
66,bishops,3,1
74,blackpool,3,1
78,bletcbley,6,1
74,bletchley,"4,5,7",3
78,bletchley,"1,3",4
66,blister,8,2
66,bloch,10,1
61,blotting,7,1
78,bonus,6,1
78,bookcase,6,1
70,bookshelf,9,1
74,bookshop,6,1
74,border,7,1
78,border,7,3
74,borrowers,6,1
78,boston,10,2
66,boulevard,8,1
70,boxful,3,1
61,boxill,8,1
70,bracknell,4,1
66,brenda,3,1
61,brian,"4,10",4
66,brian,"4,7,10",4
78,brian,5,2
78,broadstairs,4,2
70,bromsgrove,1,1
78,brownies,3,1
70,brtsh,6,1
66,bruce,10,1
74,btintemet,5,1
70,bumper,5,1
78,bunty,2,1
78,burpham,"1,3",6
74,buttermere,7,1
74,bygone,6,1
70,cabinet,"8,9",5
70,cabinets,8,2
66,cairn,9,1
70,calendar,4,1
78,calendar,10,1
78,calendars,10,1
78,cally,8,1
66,camberley,3,1
61,camera,3,1
74,camera,"4,5",2
61,cameroons,5,1
78,campaign,10,1
74,campbell,10,1
78,canada,9,1
74,cancer,4,1
74,candy,8,1
78,candy,4,2
70,canterbury,6,2
66,cappitello,9,1
66,captions,6,1
74,caramels,10,1
78,caravan,6,1
61,cardboard,6,1
66,cardboard,"2,3,4,8",5
70,cardboard,"3,6",4
74,cardboard,7,1
78,cardboard,7,1
61,carolyn,6,1
66,carpenter,4,2
70,carton,"3,6,7",9
70,cartons,"6,7",4
66,cartoon,3,1
70,cartoon,2,1
78,cartoon,6,2
70,cartoons,4,1
66,carved,9,1
78,carvings,9,1
61,catchy,6,1
66,cathedral,6,1
70,caveat,6,1
70,cecil,4,1
74,celebrations,10,1
78,celebrations,3,1
61,census,5,1
78,census,6,1
74,centenary,10,1
70,centuries,"8,10",2
61,century,"5,6,9",4
66,century,3,1
70,century,"6,7,8,9",4
70,cereal,6,1
61,certificate,4,1
70,cessation,7,1
74,chaos,4,1
61,chapel,5,2
70,chapel,9,1
66,chapters,6,1
74,charitable,5,1
74,charity,6,2
70,charlotte,8,1
74,cheese,3,1
74,chelmsford,4,1
74,cheltenham,9,2
74,chemo,4,1
74,cheque,5,1
74,cheshire,3,2
74,chester,4,1
61,chichester,10,1
78,chichester,5,1
66,childhood,3,1
70,childhood,6,1
74,china,4,1
66,chris,4,1
66,christa,10,1
66,christchurch,"7,8",5
74,christine,5,1
66,chromolithographed,3,1
78,cicely,5,1
66,cinemas,8,1
61,cinematographers,6,1
70,circulating,10,1
78,circumstances,3,1
61,circus,9,4
66,cirencester,1,1
70,claimant,9,1
66,clarendon,5,1
78,clarke,2,1
78,classified,5,1
70,classroom,8,1
78,claude,5,1
74,cliff,7,1
78,cliff,10,1
66,closure,3,1
70,coastal,10,1
74,coaster,8,1
70,coincidence,7,1
74,coincidence,2,1
78,coincidences,5,1
78,colin,3,3
74,collectables,5,1
61,collection,"3,4,10",9
66,collection,"3,4,8,9,10",9
70,collection,"4,5,7,9,10",6
74,collection,"2,3,7,8,9,10",14
78,collection,"2,5,10",4
70,collections,"3,5",3
74,collections,"3,4",2
78,collections,5,1
70,collector,3,1
61,collectors,"4,9,10",3
66,collectors,9,1
70,collectors,"6,7,8",3
78,collectors,"7,10",2
74,colourful,10,1
70,columns,10,1
66,combination,3,1
70,comedy,4,1
78,comedy,7,1
78,comer,7,1
74,comet,10,3
74,comets,10,1
78,commentary,5,1
78,commercially,7,1
74,commitment,3,1
70,communal,"1,4",2
74,communications,1,1
66,companion,3,1
74,companion,"6,7,8",7
78,companion,7,1
74,companions,"6,7,8",4
61,compasses,8,1
70,compatriots,3,1
74,competition,3,1
78,competitions,3,1
74,completion,7,1
74,complimentary,7,1
74,composition,"7,8",2
66,computer,6,1
70,conclusions,8,1
74,condolences,7,1
61,condor,10,1
74,confectionary,10,1
66,conference,8,1
61,confraternity,"1,3",2
66,confraternity,1,1
74,congested,6,1
74,congratulations,6,1
78,congratulations,4,1
74,consciously,4,1
70,consecutive,6,1
74,consecutive,9,1
78,consolation,9,1
61,constables,7,1
61,constitution,"3,4",4
70,construction,10,1
66,constructional,7,1
66,constructions,7,1
74,consultants,4,1
70,consumer,7,1
61,contactable,"3,4",2
66,contained,"8,9",2
74,contained,7,1
70,container,7,2
70,containers,6,1
70,contender,8,1
70,context,8,1
70,continent,10,1
61,convenor,4,1
61,convention,4,1
78,convention,6,1
74,conversion,6,1
61,convoyed,2,1
61,cooper,"4,7,8",3
66,cooper,"5,6",2
66,coopers,10,1
74,cornet,10,1
70,cornish,10,1
61,cornwall,6,2
66,coronation,3,1
66,corsair,8,1
74,cosmetics,9,1
70,cotsen,8,1
66,cottage,7,1
70,cottage,7,1
74,cottage,9,1
78,cottington,5,1
70,courteous,9,1
78,courtesy,6,1
74,cowdry,9,1
70,cowes,5,1
74,cowes,10,3
74,crafted,3,1
78,crafted,9,1
66,crafting,8,1
78,crafts,9,1
66,craftsmanship,8,1
66,craftsmen,7,1
78,craftspeople,10,1
61,craze,7,1
78,craze,7,1
74,creation,3,1
66,crest,9,1
74,crewed,10,1
78,cricket,5,1
78,cricketers,5,1
70,cricketing,2,1
78,critical,5,1
70,crossroad,1,1
70,crossroads,1,1
70,crude,8,1
61,crufts,4,2
74,crumbie,5,1
70,cullum,3,1
66,cupboard,7,1
70,cupboard,7,2
70,cupboards,4,1
74,cupid,8,1
70,curator,5,2
78,curriculum,4,1
78,cushman,9,2
78,customary,5,1
61,cutter,9,1
66,cutter,"3,6,7",3
78,cutter,"6,7",2
61,cutters,6,7
66,cutters,"3,7,9",5
74,daleks,4,1
66,dalgety,7,1
66,darton,4,1
61,daunter,9,1
61,david,"3,4,6",3
66,david,"1,3,4,5,10",10
